area,name,nhs region,density,population,age0-19,age20-69,age70+,Male,Female,area effect,long,lat
S12000005,Clackmannanshire,S08000019,3.233269716,51400,11269,33087,7044,25225,26175,1.3,-3.75344,56.14724
S12000006,Dumfries and Galloway,S08000017,0.231554233,148790,29158,92583,27049,72321,76469,0.7,-4.02863,55.09621
S12000008,East Ayrshire,S08000015,0.965353828,121840,26223,78457,17160,59105,62735,1.2,-4.29057,55.496738
S12000010,East Lothian,S08000024,1.557614052,105790,23750,66839,15201,50719,55071,0.6,-2.72435,55.94207
S12000011,East Renfrewshire,S08000031,5.461708642,95170,23834,57594,13742,45473,49697,1.5,-4.3606,55.74868
S12000013,Na h-Eileanan Siar,S08000028,0.087800197,26830,5305,16648,4877,13247,13583,2.3,-6.65722,58.199379
S12000014,Falkirk,S08000019,5.392017568,160340,35007,104352,20981,78497,81843,0.6,-3.7706,55.99604
S12000017,Highland,S08000022,0.091814247,235540,49231,149837,36472,115391,120149,0.9,-4.66103,57.586571
S12000018,Inverclyde,S08000031,4.871019274,78150,15906,50622,11622,37401,40749,1.3,-4.75387,55.900299
S12000019,Midlothian,S08000024,2.582547363,91340,21474,58010,11856,43893,47447,2.1,-3.11738,55.82111
S12000020,Moray,S08000020,0.426958839,95520,20339,60583,14598,47297,48223,1.1,-3.20187,57.47683
S12000021,North Ayrshire,S08000015,1.528110662,133586,28581,83742,21263,64399,70881,0.6,-4.7246,55.72789
S12000023,Orkney Islands,S08000025,0.224023428,22190,4390,14090,3710,11039,11151,0.7,-2.90025,58.94334
S12000026,Scottish Borders,S08000016,0.243607923,115270,23731,71514,20025,55989,59281,1.2,-2.85866,55.52594
S12000027,Shetland Islands,S08000026,0.156665386,22990,5184,14638,3168,11713,11277,0.9,-1.37344,60.504951
S12000028,South Ayrshire,S08000015,0.920859283,112550,22178,70112,20260,53712,58838,0.7,-4.72899,55.23008
S12000029,South Lanarkshire,S08000032,1.800447318,319020,68912,207075,43033,154202,164818,1.2,-3.83272,55.60453
S12000030,Stirling,S08000019,0.431327677,94330,20331,61048,12951,45445,48885,1.5,-4.32595,56.249531
S12000033,Aberdeen City,S08000020,12.26008887,227560,43565,158946,25049,113252,114308,1,-2.20398,57.166969
S12000034,Aberdeenshire,S08000020,0.414209284,261470,59904,167080,34486,130179,131291,0.9,-2.79208,57.234692
S12000035,Argyll and Bute,S08000022,0.124882606,86260,16568,54083,15609,42916,43344,1.3,-5.22114,56.28944
S12000036,City of Edinburgh,S08000024,19.68848525,518500,98916,364022,55562,252989,265511,0.9,-3.27826,55.91119
S12000038,Renfrewshire,S08000031,6.799172581,177790,37699,116466,23625,85869,91921,1.2,-4.56834,55.848621
S12000039,West Dunbartonshire,S08000031,5.613932984,89130,19407,58283,11440,42496,46634,0.7,-4.52074,56.0014
S12000040,West Lothian,S08000024,4.258175316,182140,43645,117831,20664,89338,92802,0.6,-3.60909,55.8992
S12000041,Angus,S08000030,0.531905141,116040,24142,72358,19540,56537,59503,1.4,-2.89189,56.7248
S12000042,Dundee City,S08000030,24.86173532,148750,31073,98791,18886,71782,76968,1,-2.97095,56.4776
S12000045,East Dunbartonshire,S08000031,6.208414284,108330,23958,66885,17487,52468,55862,0.6,-4.22417,55.95829
S12000047,Fife,S08000029,2.80606105,371910,80981,237302,53627,180620,191290,0.9,-2.98235,56.231171
S12000048,Perth and Kinross,S08000030,0.286230871,151290,30850,95155,25285,74367,76923,1.1,-3.8848,56.575291
S12000049,Glasgow City,S08000031,35.8724852,626410,126197,440814,59399,306050,320360,1.2,-4.21479,55.876492
S12000050,North Lanarkshire,S08000032,7.237838461,340180,78597,221553,40030,164820,175360,*,-3.9514,55.868141
